FieldName,Value,OcrConfidence,Confidence,IsMissing,Items - Descriptions,Items - Descriptions_IsMissing,Items - Quantities,Items - Quantities_IsMissing,Items - Unit Prices,Items - Unit Prices_IsMissing,Items - Line Amounts,Items - Line Amounts_IsMissing,Items - Customer Purchase Order Numbers,Items - Customer Purchase Order Numbers_IsMissing,Items - Line Numbers,Items - Line Numbers_IsMissing,Items - Part Number,Items - Part Number_IsMissing
Vendor Name,Move-For-You Co.,1.0,1.0,False,,,,,,,,,,,,,,
Vendor Address,"20800 ALMADEN AVE, SUITE 404 SAN JOSE, CA 95120-0520",1.0,1.0,False,,,,,,,,,,,,,,
Billing Name,Tony Tzeng,1.0,0.999,False,,,,,,,,,,,,,,
Billing Address,"12345 Mango Lane Seattle, WA 98108",1.0,1.0,False,,,,,,,,,,,,,,
Invoice Number,456200-TZE1,1.0,1.0,False,,,,,,,,,,,,,,
Purchase Order Number,NP74006735,1.0,1.0,False,,,,,,,,,,,,,,
Document Date,2020-02-01,1.0,1.0,False,,,,,,,,,,,,,,
Tax Amount,1367.20,1.0,1.0,False,,,,,,,,,,,,,,
Total Amount,15039.20,1.0,1.0,False,,,,,,,,,,,,,,
Payment Terms,15 DAYS OF RECEIPT,1.0,0.986,False,,,,,,,,,,,,,,
Vendor Email Address,billing@moveforyou-co.com,1.0,0.998,False,,,,,,,,,,,,,,
Bank Name,"BigBank Co.,",1.0,1.0,False,,,,,,,,,,,,,,
Bank Account Number,123456789-0987ABC,1.0,1.0,False,,,,,,,,,,,,,,
Tax Rate,10,1.0,0.996,False,,,,,,,,,,,,,,
items,,-1.0,1.0,False,,,,,,,,,,,,,,
,,,,,Packing services,False,,True,,True,1282.00,False,,True,,True,,True
,,,,,Storage fees (1 month),False,,True,,True,1884.00,False,,True,,True,,True
,,,,,House move (white-glove service),False,,True,,True,5320.00,False,,True,,True,,True
,,,,,Vehicle storage and transport,False,,True,,True,5186.00,False,,True,,True,,True
